userid,times,money,std_money,std_times,type
1000000001,8,987,705.2399999999998,6.6400000000000015,高价值型用户
1000000002,7,490,705.2399999999998,6.6400000000000015,大众型用户
1000000003,7,1180,705.2399999999998,6.6400000000000015,高价值型用户
1000000004,8,621,705.2399999999998,6.6400000000000015,大众型用户
1000000005,7,1500,705.2399999999998,6.6400000000000015,高价值型用户
1000000006,7,1010,705.2399999999998,6.6400000000000015,高价值型用户
1000000007,7,1106,705.2399999999998,6.6400000000000015,高价值型用户
1000000008,7,1074,705.2399999999998,6.6400000000000015,高价值型用户
1000000009,7,970,705.2399999999998,6.6400000000000015,高价值型用户
1000000010,8,773,705.2399999999998,6.6400000000000015,高价值型用户
1000000011,7,748,705.2399999999998,6.6400000000000015,高价值型用户
1000000012,7,911,705.2399999999998,6.6400000000000015,高价值型用户
1000000013,7,835,705.2399999999998,6.6400000000000015,高价值型用户
1000000014,7,749,705.2399999999998,6.6400000000000015,高价值型用户
1000000015,7,700,705.2399999999998,6.6400000000000015,大众型用户
1000000016,8,784,705.2399999999998,6.6400000000000015,高价值型用户
1000000017,7,780,705.2399999999998,6.6400000000000015,高价值型用户
1000000018,7,641,705.2399999999998,6.6400000000000015,大众型用户
1000000019,6,729,705.2399999999998,6.6400000000000015,潜力型用户
1000000020,7,899,705.2399999999998,6.6400000000000015,高价值型用户
1000000021,7,757,705.2399999999998,6.6400000000000015,高价值型用户
1000000022,6,534,705.2399999999998,6.6400000000000015,低价值型用户
1000000023,5,493,705.2399999999998,6.6400000000000015,低价值型用户
1000000024,7,904,705.2399999999998,6.6400000000000015,高价值型用户
1000000025,7,651,705.2399999999998,6.6400000000000015,大众型用户
1000000026,7,777,705.2399999999998,6.6400000000000015,高价值型用户
1000000027,7,631,705.2399999999998,6.6400000000000015,大众型用户
1000000028,6,571,705.2399999999998,6.6400000000000015,低价值型用户
1000000029,7,691,705.2399999999998,6.6400000000000015,大众型用户
1000000030,7,671,705.2399999999998,6.6400000000000015,大众型用户
1000000031,7,655,705.2399999999998,6.6400000000000015,大众型用户
1000000032,6,519,705.2399999999998,6.6400000000000015,低价值型用户
1000000033,6,545,705.2399999999998,6.6400000000000015,低价值型用户
1000000034,7,721,705.2399999999998,6.6400000000000015,高价值型用户
1000000035,7,769,705.2399999999998,6.6400000000000015,高价值型用户
1000000036,6,645,705.2399999999998,6.6400000000000015,低价值型用户
1000000037,7,627,705.2399999999998,6.6400000000000015,大众型用户
1000000038,6,534,705.2399999999998,6.6400000000000015,低价值型用户
1000000039,7,750,705.2399999999998,6.6400000000000015,高价值型用户
1000000040,7,656,705.2399999999998,6.6400000000000015,大众型用户
1000000041,6,683,705.2399999999998,6.6400000000000015,低价值型用户
1000000042,7,612,705.2399999999998,6.6400000000000015,大众型用户
1000000043,7,640,705.2399999999998,6.6400000000000015,大众型用户
1000000044,6,601,705.2399999999998,6.6400000000000015,低价值型用户
1000000045,7,711,705.2399999999998,6.6400000000000015,高价值型用户
1000000046,6,711,705.2399999999998,6.6400000000000015,潜力型用户
1000000047,7,654,705.2399999999998,6.6400000000000015,大众型用户
1000000048,6,678,705.2399999999998,6.6400000000000015,低价值型用户
